Invision
social
sketch
Wordpress
Swift
Scala
CSS3
web
Photoshop
AWS
React
Node
SQL
Java
C++
Math
Principle
cryptocurrency
JQuery
branding
object-oriented
A/B
investing
Javascript
Sitecore
Chartlist
Prototyping
Broadcast
websites
cloud
ES6
file systems
Linux
Balsamiq
BI
agile
MySQL
graphs
Web
prototyping
CSS
wireframes
NET
website
scripting
UI/UX
CS
Avocode
LAMP
Omnigraffle
Framer
Drupal
QA
Vue
fintech
Twitter
hardware
PHP
front-end
hierarchy
IT
Docker
Zeplin
SharePoint
GraphQL
finance
SVG
PBX
HTML
SEO
LinkedIn
Postgres
Jekyll
photoshop
webpack
XML
SASS
Illustrator
Instagram
TauCharts
APIs
UX
Capistrano
API’s
software
NGINX
workflow
accessibility
JSON
backend
Handoff
Apache
Adobe
Ansible
networking
Ruby
DOM
Django
C#
web platform
InVision
analytics
Backend
iOS
Lucene/Solr
frameworks
AEM
Angular
full-stack
Figma
databases
Marvel
Database
InDesign
Wireframing
A/V
infographics
templates
sockets
RESTful
RubyCS
Git
AI
MongoDB
Python
visualization
SaaS
D3
web analytics
robotics 
threads
composition
shell
templating
HTML5
Oracle
WordPress
WCAG
Facebook
typography
CMS
API
Agile
JS
Sketch
STEM
batch
AR
UI
banking
.NET
JavaScript
Physics
animation
C
research
design
development
back-end
Budgeting
programming 
targeting
segmentation 
CRM
regulatory 
personalization
mobile
attention-to-detail
prioritize 
manage 
initiative
apps
developer 
design
self-directed
mentoring 
coding 
server 
Android
biotech
BS
MS
stack
robotics 
modeling
scheduling
dispatching 
code 
coding 
English
communication
self-motivated
frontend 
